Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned_kcal,Fat_Category,BMI_Category,Weekly_Workout_Hours
56,Female,53.8,1.62,163,149,71,1.01,HIIT,22.1,3.5,3,1,20.4,9.5,0.847826087,8.054347826,437.7,Average,Normal,3.0300000000000002
46,Male,54.9,1.75,170,126,73,0.25,Yoga,19.9,3.4,3,0,18.0,3.0,0.5463917526,1.639175258,22.5,Fit,Underweight,0.75
32,Female,68.5,1.61,190,171,60,0.33,HIIT,20.4,2.7,3,1,26.5,9.5,0.8538461538,8.111538462,183.4,Average,Overweight,0.99
25,Male,98.8,1.86,189,135,69,0.78,Yoga,30.3,4.4,3,0,28.5,3.0,0.55,1.65,127.2,Very High,Overweight,2.34
38,Male,95.5,1.71,176,138,66,0.55,Cardio,23.7,2.2,2,0,32.5,7.0,0.6545454545,4.581818182,240.7,Average,Obesity,1.1
56,Female,47.4,1.62,163,124,77,0.75,Yoga,28.7,3.7,5,1,18.1,3.0,0.5465116279,1.639534884,58.3,High,Underweight,3.75
36,Female,71.1,1.62,183,136,78,0.41,Yoga,25.5,3.3,2,0,27.1,3.0,0.5523809524,1.657142857,48.3,High,Overweight,0.82
40,Female,72.5,1.63,176,137,63,0.52,Cardio,18.3,2.7,3,1,27.3,7.0,0.6548672566,4.584070796,172.8,Fit,Overweight,1.56
28,Male,71.6,1.82,191,164,83,0.78,Mixed,26.5,4.2,2,0,21.7,8.0,0.75,6.0,335.1,High,Normal,1.56
28,Female,49.0,1.55,199,166,66,0.67,Mixed,21.3,3.7,4,1,20.3,8.0,0.7518796992,6.015037594,197.5,Average,Normal,2.68
41,Male,51.2,1.61,179,126,62,1.07,Yoga,14.5,3.8,7,3,19.7,3.0,0.547008547,1.641025641,89.9,Athletic / Very Fit,Normal,7.49
53,Male,57.7,1.62,161,140,77,0.44,Mixed,28.7,3.5,3,0,21.9,8.0,0.75,6.0,152.3,High,Normal,1.32
57,Male,69.9,1.68,163,135,70,0.43,Strength,27.6,2.8,4,1,24.8,6.0,0.6989247312,4.193548387,126.0,High,Normal,1.72
