Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Calories_Burned_kcal,Fat_Category,BMI_Category,Weekly_Workout_Hours,Workout_Cluster
56,Female,53.8,1.62,163,149,71,1.01,HIIT,22.1,3.5,3,1,20.4,437.7,Average,Normal,3.03,0
46,Male,54.9,1.75,170,126,73,0.25,Yoga,19.9,3.4,3,0,18.0,22.5,Fit,Underweight,0.75,0
32,Female,68.5,1.61,190,171,60,0.33,HIIT,20.4,2.7,3,1,26.5,183.4,Average,Overweight,0.99,2
25,Male,98.8,1.86,189,135,69,0.78,Yoga,30.3,4.4,3,0,28.5,127.2,Very High,Overweight,2.34,2
38,Male,95.5,1.71,176,138,66,0.55,Cardio,23.7,2.2,2,0,32.5,240.7,Average,Obesity,1.1,0
56,Female,47.4,1.62,163,124,77,0.75,Yoga,28.7,3.7,5,1,18.1,58.3,High,Underweight,3.75,0
36,Female,71.1,1.62,183,136,78,0.41,Yoga,25.5,3.3,2,0,27.1,48.3,High,Overweight,0.82,0
40,Female,72.5,1.63,176,137,63,0.52,Cardio,18.3,2.7,3,1,27.3,172.8,Fit,Overweight,1.56,0
28,Male,71.6,1.82,191,164,83,0.78,Mixed,26.5,4.2,2,0,21.7,335.1,High,Normal,1.56,2
28,Female,49.0,1.55,199,166,66,0.67,Mixed,21.3,3.7,4,1,20.3,197.5,Average,Normal,2.68,2
41,Male,51.2,1.61,179,126,62,1.07,Yoga,14.5,3.8,7,3,19.7,89.9,Athletic / Very Fit,Normal,7.49,1
53,Male,57.7,1.62,161,140,77,0.44,Mixed,28.7,3.5,3,0,21.9,152.3,High,Normal,1.32,0
57,Male,69.9,1.68,163,135,70,0.43,Strength,27.6,2.8,4,1,24.8,126.0,High,Normal,1.72,0
41,Female,80.4,1.65,168,142,63,1.0,Mixed,20.9,4.6,6,2,29.4,483.9,Average,Overweight,6.0,1
20,Female,66.6,1.53,205,186,75,0.65,HIIT,37.7,3.0,3,0,28.4,351.1,Very High,Overweight,1.95,2
39,Female,48.4,1.64,175,143,69,0.97,Strength,27.0,3.6,4,1,18.0,196.7,High,Underweight,3.88,0
19,Male,58.1,1.67,202,171,76,0.48,Mixed,25.5,4.4,2,0,20.8,168.2,High,Normal,0.96,2
41,Male,76.4,1.62,180,149,76,0.25,Strength,28.3,2.8,2,0,29.2,80.4,High,Overweight,0.5,0
47,Female,64.4,1.75,169,136,57,1.39,Strength,9.0,3.9,7,3,21.1,378.8,Athletic / Very Fit,Normal,9.73,1
55,Male,74.6,1.77,171,149,81,0.56,Mixed,24.7,4.3,3,0,23.8,252.5,Average,Normal,1.6800000000000002,0
19,Male,50.3,1.67,205,184,66,0.44,HIIT,16.1,2.5,5,1,18.0,178.5,Fit,Underweight,2.2,2
38,Male,83.0,1.7,178,163,77,0.84,HIIT,29.1,3.8,3,0,28.6,564.0,High,Overweight,2.52,2
50,Female,38.6,1.46,174,143,73,0.25,Strength,29.8,2.5,3,0,18.0,40.1,High,Underweight,0.75,0
29,Male,48.3,1.64,186,157,71,0.58,Mixed,21.2,3.9,3,0,18.0,167.6,Average,Underweight,1.7399999999999998,2
39,Male,89.4,1.78,188,171,74,0.27,HIIT,17.1,2.6,3,0,28.2,195.1,Fit,Overweight,0.81,2
42,Female,85.0,1.64,184,155,67,0.8,Mixed,25.8,3.9,5,1,31.7,409.2,High,Obesity,4.0,2
44,Female,58.9,1.61,181,153,68,0.87,Mixed,14.4,4.4,4,2,22.8,308.4,Athletic / Very Fit,Normal,3.48,1
59,Female,86.0,1.9,153,115,70,0.69,Yoga,24.2,4.0,5,1,23.8,96.5,Average,Normal,3.45,0
45,Female,95.8,1.86,172,129,77,0.6,Yoga,31.4,3.5,5,1,27.6,94.4,Very High,Overweight,3.0,0
33,Female,75.0,1.73,184,129,60,1.0,Yoga,22.6,4.4,7,2,25.2,125.2,Average,Overweight,7.0,1
32,Female,72.4,1.79,185,153,55,1.69,Mixed,11.1,5.0,6,3,22.5,737.9,Athletic / Very Fit,Normal,10.14,1
20,Male,46.9,1.46,205,158,72,0.89,Cardio,20.6,3.5,3,1,22.1,188.9,Average,Normal,2.67,2
54,Male,46.2,1.6,157,135,69,1.25,Mixed,14.7,4.3,7,3,18.0,346.5,Athletic / Very Fit,Underweight,8.75,1
24,Male,66.5,1.63,198,179,72,0.87,HIIT,20.9,2.9,5,1,24.9,466.7,Average,Normal,4.35,2
38,Male,64.8,1.66,186,167,60,1.22,HIIT,18.7,3.8,6,2,23.6,637.8,Fit,Normal,7.32,1
26,Female,59.2,1.63,190,172,65,0.91,HIIT,24.6,3.3,3,1,22.2,438.1,Average,Normal,2.73,2
56,Male,42.0,1.45,167,133,70,1.29,Cardio,12.6,3.2,7,3,20.0,246.3,Athletic / Very Fit,Normal,9.03,1
35,Female,60.2,1.72,187,151,68,0.37,Strength,18.6,2.7,4,1,20.4,93.2,Fit,Normal,1.48,2
21,Female,79.6,1.73,198,163,60,1.01,Mixed,19.7,4.2,5,2,26.5,480.0,Fit,Overweight,5.05,1
42,Male,93.2,1.84,183,135,76,0.63,Yoga,22.1,3.6,5,1,27.5,97.1,Average,Overweight,3.15,0
31,Male,58.2,1.6,186,167,59,1.35,HIIT,9.0,3.8,5,3,22.7,634.7,Athletic / Very Fit,Normal,6.75,1
26,Female,56.5,1.59,199,178,55,1.16,HIIT,18.3,3.7,7,3,22.3,531.8,Fit,Normal,8.12,1
43,Female,43.3,1.45,178,150,85,0.81,Strength,26.3,3.3,3,0,20.6,147.1,High,Normal,2.43,0
19,Female,75.6,1.65,199,161,73,0.57,Strength,26.6,3.4,5,1,27.7,180.6,High,Overweight,2.85,2
37,Female,75.6,1.77,182,148,67,0.83,Strength,28.7,3.7,3,0,24.1,265.2,High,Normal,2.49,2
45,Male,66.8,1.62,168,147,82,0.8,Mixed,20.3,4.2,3,0,25.5,323.1,Average,Overweight,2.4000000000000004,0
24,Female,91.3,1.89,194,173,55,1.35,HIIT,19.2,3.6,7,3,25.4,994.0,Fit,Overweight,9.45,1
25,Male,62.3,1.65,189,146,64,0.87,Cardio,17.9,3.2,4,1,22.8,248.9,Fit,Normal,3.48,2
52,Female,55.5,1.69,169,133,66,1.01,Cardio,24.3,3.1,3,1,19.3,255.2,Average,Normal,3.03,0
31,Female,47.7,1.54,194,158,75,1.06,Strength,25.0,3.8,7,2,20.0,211.6,High,Normal,7.42,1
34,Female,83.2,1.71,188,150,80,0.95,Cardio,23.8,3.1,4,1,28.5,358.6,Average,Overweight,3.8,2
53,Male,46.3,1.48,163,141,72,0.67,Mixed,24.0,4.5,2,0,21.1,188.2,Average,Normal,1.34,0
57,Female,68.4,1.75,162,134,84,0.54,Cardio,25.8,2.3,2,0,22.4,165.7,High,Normal,1.08,0
21,Male,59.8,1.75,200,158,59,1.14,Strength,13.9,3.9,3,1,19.5,287.2,Athletic / Very Fit,Normal,3.42,1
19,Male,63.1,1.82,203,160,80,0.69,Cardio,20.7,2.8,2,0,19.1,198.2,Average,Normal,1.38,2
23,Male,52.1,1.58,205,187,82,0.55,HIIT,25.0,3.1,2,0,20.9,232.4,High,Normal,1.1,2
59,Female,88.5,1.7,164,144,83,0.83,Mixed,25.8,4.4,3,0,30.8,442.5,High,Obesity,2.49,0
21,Male,80.3,1.74,200,165,60,1.52,Mixed,16.3,4.0,7,3,26.6,732.3,Fit,Overweight,10.64,1
46,Male,65.1,1.72,175,150,78,0.25,Mixed,22.8,3.6,3,0,21.9,96.6,Average,Normal,0.75,0
35,Female,71.9,1.59,183,165,61,1.06,HIIT,16.7,4.0,5,2,28.3,617.2,Fit,Overweight,5.300000000000001,1
43,Female,49.2,1.45,177,161,70,0.7,HIIT,26.8,2.8,4,1,23.4,278.3,High,Normal,2.8,0
51,Male,86.5,1.71,173,158,74,1.08,HIIT,25.4,3.4,2,0,29.4,753.0,High,Overweight,2.16,0
27,Male,91.0,1.66,189,135,69,1.14,Yoga,19.5,4.3,5,1,32.8,171.2,Fit,Obesity,5.699999999999999,1
53,Female,74.1,1.62,169,146,76,0.56,Mixed,15.6,3.4,5,1,28.1,249.9,Fit,Overweight,2.8000000000000003,0
31,Male,75.2,1.76,188,152,66,1.04,Strength,15.0,3.6,5,2,24.4,330.8,Fit,Normal,5.2,1
48,Male,75.2,1.68,181,141,68,1.05,Cardio,15.8,3.4,5,3,26.8,357.1,Fit,Overweight,5.25,1
32,Male,57.7,1.55,189,139,76,0.25,Yoga,21.7,3.1,3,0,24.1,24.1,Average,Normal,0.75,2
25,Female,39.8,1.49,197,154,76,0.71,Cardio,21.8,3.6,4,2,18.0,127.5,Average,Underweight,2.84,2
31,Male,52.5,1.57,185,148,81,0.6,Cardio,28.8,2.2,3,0,21.4,142.1,High,Normal,1.7999999999999998,2
40,Female,72.9,1.9,187,170,75,0.44,HIIT,22.1,2.6,2,0,20.2,258.5,Average,Normal,0.88,2
57,Female,65.4,1.75,166,125,76,0.66,Yoga,27.3,4.2,3,0,21.3,70.5,High,Normal,1.98,0
38,Female,90.0,1.7,189,150,61,0.93,Strength,18.1,4.1,4,2,31.2,349.2,Fit,Obesity,3.72,1
33,Male,78.7,1.66,186,147,76,0.64,Cardio,22.3,2.9,3,0,28.5,227.6,Average,Overweight,1.92,2
35,Female,70.6,1.66,185,143,65,0.92,Cardio,22.7,2.4,3,1,25.8,295.5,Average,Overweight,2.76,2
41,Male,88.0,1.8,172,127,72,1.0,Yoga,22.7,4.3,5,2,27.2,145.2,Average,Overweight,5.0,1
43,Female,47.9,1.63,186,149,63,1.25,Strength,15.3,4.8,6,2,18.0,251.2,Fit,Underweight,7.5,1
42,Male,81.3,1.74,180,144,62,1.42,Strength,10.5,4.7,7,3,26.9,481.4,Athletic / Very Fit,Overweight,9.94,1
58,Male,75.1,1.65,171,139,64,0.52,Strength,29.1,3.2,3,0,27.8,164.2,High,Overweight,1.56,0
46,Male,63.2,1.87,172,136,69,1.27,Cardio,18.2,3.7,3,1,18.0,365.5,Fit,Underweight,3.81,0
32,Female,83.3,1.75,190,171,58,1.09,HIIT,16.8,3.4,6,3,27.1,738.4,Fit,Overweight,6.540000000000001,1
18,Male,59.6,1.8,205,149,80,0.43,Yoga,25.3,3.5,2,0,18.3,42.4,High,Underweight,0.86,2
42,Male,47.3,1.62,180,146,68,1.22,Strength,25.8,4.2,5,2,18.0,241.1,High,Underweight,6.1,1
24,Female,93.5,1.79,194,177,80,0.41,HIIT,34.9,2.4,3,0,29.3,309.9,Very High,Overweight,1.23,2
26,Female,54.3,1.65,192,154,67,1.03,Strength,23.0,4.1,5,2,20.0,233.6,Average,Normal,5.15,1
41,Male,60.4,1.69,177,140,71,0.99,Cardio,17.4,3.3,5,2,21.1,272.5,Fit,Normal,4.95,1
18,Female,95.0,1.84,205,162,62,1.31,Strength,15.2,4.0,5,3,28.0,522.2,Fit,Overweight,6.550000000000001,1
25,Female,56.6,1.58,192,147,63,0.78,Cardio,17.5,2.5,5,1,22.8,201.2,Fit,Normal,3.9,2
41,Female,67.3,1.7,169,122,65,1.07,Yoga,24.3,4.2,6,2,23.3,118.4,Average,Normal,6.42,1
